movie_title,color,director_name,actor_2_name,gross,genres,actor_1_name,movie_imdb_link,language,country,budget,title_year,movie_facebook_likes
Batman v Superman: Dawn of Justice ,Color,Zack Snyder,Lauren Cohan,330249062,Action|Adventure|Sci-Fi,Henry Cavill,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,English,USA,250000000,2016,197000
Superman Returns ,Color,Bryan Singer,Marlon Brando,200069408,Action|Adventure|Sci-Fi,Kevin Spacey,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,English,USA,209000000,2006,0
Quantum of Solace ,Color,Marc Forster,Mathieu Amalric,168368427,Action|Adventure,Giancarlo Giannini,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,English,UK,200000000,2008,0
Pirates of the Caribbean: Dead Man's Chest ,Color,Gore Verbinski,Orlando Bloom,423032628,Action|Adventure|Fantasy,Johnny Depp,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,English,USA,225000000,2006,5000
The Lone Ranger ,Color,Gore Verbinski,Ruth Wilson,89289910,Action|Adventure|Western,Johnny Depp,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,English,USA,215000000,2013,48000
Man of Steel ,Color,Zack Snyder,Christopher Meloni,291021565,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,English,USA,225000000,2013,118000
The Chronicles of Narnia: Prince Caspian ,Color,Andrew Adamson,Pierfrancesco Favino,141614023,Action|Adventure|Family|Fantasy,Peter Dinklage,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,English,USA,225000000,2008,0
The Avengers ,Color,Joss Whedon,Robert Downey Jr.,623279547,Action|Adventure|Sci-Fi,Chris Hemsworth,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,English,USA,220000000,2012,123000
Pirates of the Caribbean: On Stranger Tides ,Color,Rob Marshall,Sam Claflin,241063875,Action|Adventure|Fantasy,Johnny Depp,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,English,USA,250000000,2011,58000
Men in Black 3 ,Color,Barry Sonnenfeld,Michael Stuhlbarg,179020854,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,English,USA,225000000,2012,40000
The Hobbit: The Battle of the Five Armies ,Color,Peter Jackson,Adam Brown,255108370,Adventure|Fantasy,Aidan Turner,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,English,New Zealand,250000000,2014,65000
The Amazing Spider-Man ,Color,Marc Webb,Andrew Garfield,262030663,Action|Adventure|Fantasy,Emma Stone,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,English,USA,230000000,2012,56000
Robin Hood ,Color,Ridley Scott,William Hurt,105219735,Action|Adventure|Drama|History,Mark Addy,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,English,USA,200000000,2010,17000
The Hobbit: The Desolation of Smaug ,Color,Peter Jackson,Adam Brown,258355354,Adventure|Fantasy,Aidan Turner,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,English,USA,225000000,2013,83000
The Golden Compass ,Color,Chris Weitz,Eva Green,70083519,Adventure|Family|Fantasy,Christopher Lee,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,English,USA,180000000,2007,0
King Kong ,Color,Peter Jackson,Thomas Kretschmann,218051260,Action|Adventure|Drama|Romance,Naomi Watts,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,English,New Zealand,207000000,2005,0
Titanic ,Color,James Cameron,Kate Winslet,658672302,Drama|Romance,Leonardo DiCaprio,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,English,USA,200000000,1997,26000
Captain America: Civil War ,Color,Anthony Russo,Scarlett Johansson,407197282,Action|Adventure|Sci-Fi,Robert Downey Jr.,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,English,USA,250000000,2016,72000
Battleship ,Color,Peter Berg,Alexander Skarsgård,65173160,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,English,USA,209000000,2012,44000
Jurassic World ,Color,Colin Trevorrow,Judy Greer,652177271,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,English,USA,150000000,2015,150000
Skyfall ,Color,Sam Mendes,Helen McCrory,304360277,Action|Adventure|Thriller,Albert Finney,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,English,UK,200000000,2012,80000
Spider-Man 2 ,Color,Sam Raimi,James Franco,373377893,Action|Adventure|Fantasy|Romance,J.K. Simmons,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,English,USA,200000000,2004,0
Iron Man 3 ,Color,Shane Black,Jon Favreau,408992272,Action|Adventure|Sci-Fi,Robert Downey Jr.,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,English,USA,200000000,2013,95000
Alice in Wonderland ,Color,Tim Burton,Alan Rickman,334185206,Adventure|Family|Fantasy,Johnny Depp,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,English,USA,200000000,2010,24000
X-Men: The Last Stand ,Color,Brett Ratner,Kelsey Grammer,234360014,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,English,Canada,210000000,2006,0
Monsters University ,Color,Dan Scanlon,Tyler Labine,268488329,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,English,USA,200000000,2013,44000
Transformers: Revenge of the Fallen ,Color,Michael Bay,Kevin Dunn,402076689,Action|Adventure|Sci-Fi,Glenn Morshower,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,English,USA,200000000,2009,0
Transformers: Age of Extinction ,Color,Michael Bay,Sophia Myles,245428137,Action|Adventure|Sci-Fi,Bingbing Li,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,English,USA,210000000,2014,56000
Oz the Great and Powerful ,Color,Sam Raimi,Mila Kunis,234903076,Adventure|Family|Fantasy,Tim Holmes,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,English,USA,215000000,2013,60000
The Amazing Spider-Man 2 ,Color,Marc Webb,Andrew Garfield,202853933,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,English,USA,200000000,2014,41000
TRON: Legacy ,Color,Joseph Kosinski,Olivia Wilde,172051787,Action|Adventure|Sci-Fi,Jeff Bridges,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,English,USA,170000000,2010,30000
Cars 2 ,Color,John Lasseter,Thomas Kretschmann,191450875,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,English,USA,200000000,2011,10000
Green Lantern ,Color,Martin Campbell,Temuera Morrison,116593191,Action|Adventure|Sci-Fi,Ryan Reynolds,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,English,USA,200000000,2011,24000
Toy Story 3 ,Color,Lee Unkrich,John Ratzenberger,414984497,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,English,USA,200000000,2010,30000
Terminator Salvation ,Color,McG,Bryce Dallas Howard,125320003,Action|Adventure|Sci-Fi,Christian Bale,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,English,USA,200000000,2009,0
Furious 7 ,Color,James Wan,Paul Walker,350034110,Action|Crime|Thriller,Jason Statham,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,English,USA,190000000,2015,94000
World War Z ,Color,Marc Forster,Brad Pitt,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,English,USA,190000000,2013,129000
X-Men: Days of Future Past ,Color,Bryan Singer,Peter Dinklage,233914986,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,English,USA,200000000,2014,82000
Star Trek Into Darkness ,Color,J.J. Abrams,Bruce Greenwood,228756232,Action|Adventure|Sci-Fi,Benedict Cumberbatch,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,English,USA,190000000,2013,92000
Jack the Giant Slayer ,Color,Bryan Singer,Ewen Bremner,65171860,Adventure|Fantasy,Eddie Marsan,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,English,USA,195000000,2013,22000
The Great Gatsby ,Color,Baz Luhrmann,Elizabeth Debicki,144812796,Drama|Romance,Leonardo DiCaprio,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,English,Australia,105000000,2013,115000
Prince of Persia: The Sands of Time ,Color,Mike Newell,Richard Coyle,90755643,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,English,USA,200000000,2010,23000
Pacific Rim ,Color,Guillermo del Toro,Clifton Collins Jr.,101785482,Action|Adventure|Sci-Fi,Charlie Hunnam,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,English,USA,190000000,2013,83000
Transformers: Dark of the Moon ,Color,Michael Bay,Lester Speight,352358779,Action|Adventure|Sci-Fi,Glenn Morshower,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,English,USA,195000000,2011,46000
Indiana Jones and the Kingdom of the Crystal Skull ,Color,Steven Spielberg,Ray Winstone,317011114,Action|Adventure|Fantasy,Harrison Ford,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,English,USA,185000000,2008,5000
The Good Dinosaur ,Color,Peter Sohn,Jack McGraw,123070338,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,English,USA,,2015,20000
Brave ,Color,Mark Andrews,John Ratzenberger,237282182,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,English,USA,185000000,2012,39000
Star Trek Beyond ,Color,Justin Lin,Melissa Roxburgh,130468626,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,English,USA,185000000,2016,30000
WALL·E ,Color,Andrew Stanton,Fred Willard,223806889,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,English,USA,180000000,2008,16000
Rush Hour 3 ,Color,Brett Ratner,Dana Ivey,140080850,Action|Comedy|Crime|Thriller,Tzi Ma,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,English,USA,140000000,2007,0
2012 ,Color,Roland Emmerich,Liam James,166112167,Action|Adventure|Sci-Fi,Oliver Platt,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,English,USA,200000000,2009,13000
A Christmas Carol ,Color,Robert Zemeckis,Colin Firth,137850096,Animation|Drama|Family|Fantasy,Robin Wright,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,English,USA,200000000,2009,0
Jupiter Ascending ,Color,Lana Wachowski,Mila Kunis,47375327,Action|Adventure|Sci-Fi,Channing Tatum,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,English,USA,176000000,2015,44000
The Legend of Tarzan ,Color,David Yates,Alexander Skarsgård,124051759,Action|Adventure|Drama|Romance,Christoph Waltz,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,English,USA,180000000,2016,29000
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Color,Andrew Adamson,Kiran Shah,291709845,Adventure|Family|Fantasy,Jim Broadbent,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,English,USA,180000000,2005,0
X-Men: Apocalypse ,Color,Bryan Singer,Michael Fassbender,154985087,Action|Adventure|Sci-Fi,Jennifer Lawrence,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,English,USA,178000000,2016,54000
The Dark Knight ,Color,Christopher Nolan,Heath Ledger,533316061,Action|Crime|Drama|Thriller,Christian Bale,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,English,USA,185000000,2008,37000
Up ,Color,Pete Docter,Delroy Lindo,292979556,Adventure|Animation|Comedy|Family,John Ratzenberger,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,English,USA,175000000,2009,27000
Monsters vs. Aliens ,Color,Rob Letterman,Rainn Wilson,198332128,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,English,USA,175000000,2009,0
Iron Man ,Color,Jon Favreau,Jeff Bridges,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,English,USA,140000000,2008,10000
Hugo ,Color,Martin Scorsese,Christopher Lee,73820094,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,English,USA,170000000,2011,42000
Wild Wild West ,Color,Barry Sonnenfeld,Salma Hayek,113745408,Action|Comedy|Sci-Fi|Western,Will Smith,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,English,USA,170000000,1999,0
The Mummy: Tomb of the Dragon Emperor ,Color,Rob Cohen,Brendan Fraser,102176165,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,English,USA,145000000,2008,0
Suicide Squad ,Color,David Ayer,Robin Atkin Downes,161087183,Action|Adventure|Comedy|Sci-Fi,Will Smith,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,English,USA,175000000,2016,80000
Evan Almighty ,Color,Tom Shadyac,Morgan Freeman,100289690,Comedy|Family|Fantasy,Jimmy Bennett,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,English,USA,175000000,2007,2000
Edge of Tomorrow ,Color,Doug Liman,Lara Pulver,100189501,Action|Adventure|Sci-Fi,Tom Cruise,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,English,USA,178000000,2014,77000
Waterworld ,Color,Kevin Reynolds,Rick Aviles,88246220,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,English,USA,175000000,1995,0
G.I. Joe: The Rise of Cobra ,Color,Stephen Sommers,Dennis Quaid,150167630,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,English,USA,175000000,2009,0
Inside Out ,Color,Pete Docter,Mindy Kaling,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,English,USA,175000000,2015,118000
The Jungle Book ,Color,Jon Favreau,Bill Murray,362645141,Adventure|Drama|Family|Fantasy,Scarlett Johansson,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,English,UK,175000000,2016,65000
Iron Man 2 ,Color,Jon Favreau,Scarlett Johansson,312057433,Action|Adventure|Sci-Fi,Robert Downey Jr.,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,English,USA,200000000,2010,18000
Snow White and the Huntsman ,Color,Rupert Sanders,Kristen Stewart,155111815,Action|Adventure|Drama|Fantasy,Chris Hemsworth,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,English,USA,170000000,2012,53000
Maleficent ,Color,Robert Stromberg,Sharlto Copley,241407328,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,English,USA,180000000,2014,89000
Dawn of the Planet of the Apes ,Color,Matt Reeves,Judy Greer,208543795,Action|Adventure|Drama|Sci-Fi,Gary Oldman,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,English,USA,170000000,2014,45000
The Lovers ,Color,Roland Joffé,Alice Englert,,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,English,Belgium,,2015,677
47 Ronin ,Color,Carl Rinsch,Cary-Hiroyuki Tagawa,38297305,Action|Adventure|Drama|Fantasy,Keanu Reeves,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,English,USA,175000000,2013,35000
Captain America: The Winter Soldier ,Color,Anthony Russo,Chris Evans,259746958,Action|Adventure|Sci-Fi,Scarlett Johansson,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,English,USA,170000000,2014,55000
Shrek Forever After ,Color,Mike Mitchell,Kathy Griffin,238371987,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,English,USA,165000000,2010,0
Tomorrowland ,Color,Brad Bird,Chris Bauer,93417865,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,English,USA,190000000,2015,37000
Big Hero 6 ,Color,Don Hall,Daniel Henney,222487711,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,English,USA,165000000,2014,41000
Wreck-It Ralph ,Color,Rich Moore,Sarah Silverman,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,English,USA,165000000,2012,40000
The Polar Express ,Color,Robert Zemeckis,Eddie Deezen,665426,Adventure|Animation|Family|Fantasy,Tom Hanks,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,English,USA,165000000,2004,10000
Independence Day: Resurgence ,Color,Roland Emmerich,Sela Ward,102315545,Action|Adventure|Sci-Fi,Vivica A. Fox,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,English,USA,165000000,2016,67000
How to Train Your Dragon ,Color,Dean DeBlois,America Ferrera,217387997,Adventure|Animation|Family|Fantasy,Gerard Butler,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,English,USA,165000000,2010,33000
Terminator 3: Rise of the Machines ,Color,Jonathan Mostow,M.C. Gainey,150350192,Action|Sci-Fi,Nick Stahl,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,English,USA,200000000,2003,0
Guardians of the Galaxy ,Color,James Gunn,Vin Diesel,333130696,Action|Adventure|Sci-Fi,Bradley Cooper,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,English,USA,170000000,2014,96000
Interstellar ,Color,Christopher Nolan,Anne Hathaway,187991439,Adventure|Drama|Sci-Fi,Matthew McConaughey,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,English,USA,165000000,2014,349000
Inception ,Color,Christopher Nolan,Tom Hardy,292568851,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,English,USA,160000000,2010,175000
Godzilla Resurgence ,Color,Hideaki Anno,Shin'ya Tsukamoto,,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,Japanese,Japan,,2016,0
The Hobbit: An Unexpected Journey ,Color,Peter Jackson,Adam Brown,303001229,Adventure|Fantasy,Aidan Turner,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,English,USA,180000000,2012,166000
The Fast and the Furious ,Color,Rob Cohen,Vin Diesel,144512310,Action|Crime|Thriller,Paul Walker,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,English,USA,38000000,2001,14000
The Curious Case of Benjamin Button ,Color,David Fincher,Jason Flemyng,127490802,Drama|Fantasy|Romance,Brad Pitt,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,English,USA,150000000,2008,23000
X-Men: First Class ,Color,Matthew Vaughn,Michael Fassbender,146405371,Action|Adventure|Sci-Fi,Jennifer Lawrence,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,English,USA,160000000,2011,54000
The Hunger Games: Mockingjay - Part 2 ,Color,Francis Lawrence,Philip Seymour Hoffman,281666058,Adventure|Sci-Fi,Jennifer Lawrence,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,English,USA,160000000,2015,38000
The Sorcerer's Apprentice ,Color,Jon Turteltaub,Omar Benson Miller,63143812,Action|Adventure|Family|Fantasy,Nicolas Cage,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,English,USA,150000000,2010,11000
Poseidon ,Color,Wolfgang Petersen,Mike Vogel,60655503,Action|Adventure|Drama|Thriller,Jimmy Bennett,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,English,USA,160000000,2006,0
Alice Through the Looking Glass ,Color,James Bobin,Alan Rickman,76846624,Adventure|Family|Fantasy,Johnny Depp,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,English,USA,170000000,2016,30000
Shrek the Third ,Color,Chris Miller,Eric Idle,320706665,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,English,USA,160000000,2007,0
Warcraft ,Color,Duncan Jones,Callum Rennie,46978995,Action|Adventure|Fantasy,Dominic Cooper,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,English,USA,160000000,2016,89000
Terminator Genisys ,Color,Alan Taylor,Emilia Clarke,89732035,Action|Adventure|Sci-Fi,J.K. Simmons,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,English,USA,155000000,2015,82000
The Chronicles of Narnia: The Voyage of the Dawn Treader ,Color,Michael Apted,Shane Rangi,104383624,Adventure|Family|Fantasy,Bruce Spence,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,English,USA,155000000,2010,11000
Pearl Harbor , Black and White,Michael Bay,Jaime King,198539855,Action|Drama|History|Romance|War,Jennifer Garner,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,English,USA,140000000,2001,0
Transformers ,Color,Michael Bay,Michael O'Neill,318759914,Action|Adventure|Sci-Fi,Zack Ward,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,English,USA,150000000,2007,8000
Alexander ,Color,Oliver Stone,Angelina Jolie Pitt,34293771,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,English,Germany,155000000,2004,0
Harry Potter and the Order of the Phoenix ,Color,David Yates,Daniel Radcliffe,292000866,Adventure|Family|Fantasy|Mystery,Robert Pattinson,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,English,UK,150000000,2007,0
Harry Potter and the Goblet of Fire ,Color,Mike Newell,Daniel Radcliffe,289994397,Adventure|Family|Fantasy|Mystery,Robert Pattinson,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,English,UK,150000000,2005,0
Hancock ,Color,Peter Berg,Charlize Theron,227946274,Action|Drama,Will Smith,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,English,USA,150000000,2008,0
I Am Legend ,Color,Francis Lawrence,Alice Braga,256386216,Drama|Horror|Sci-Fi,Will Smith,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,English,USA,150000000,2007,11000
Charlie and the Chocolate Factory ,Color,Tim Burton,Christopher Lee,206456431,Adventure|Comedy|Family|Fantasy,Johnny Depp,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,English,USA,150000000,2005,0
Ratatouille ,Color,Brad Bird,John Ratzenberger,206435493,Animation|Comedy|Family|Fantasy,Janeane Garofalo,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,English,USA,150000000,2007,10000
Batman Begins ,Color,Christopher Nolan,Liam Neeson,205343774,Action|Adventure,Christian Bale,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,English,USA,150000000,2005,15000
Madagascar: Escape 2 Africa ,Color,Eric Darnell,Jada Pinkett Smith,179982968,Action|Adventure|Animation|Comedy|Family,Bernie Mac,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,English,USA,150000000,2008,0
Night at the Museum: Battle of the Smithsonian ,Color,Shawn Levy,Rami Malek,177243721,Adventure|Comedy|Family|Fantasy,Robin Williams,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,English,USA,150000000,2009,2000
X-Men Origins: Wolverine ,Color,Gavin Hood,Ryan Reynolds,179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,English,USA,150000000,2009,0
The Matrix Revolutions ,Color,Lana Wachowski,Collin Chou,139259759,Action|Sci-Fi,Essie Davis,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,English,Australia,150000000,2003,0
